estación de radio	http://dbpedia.org/ontology/RadioStation	
boxeador aficionado	http://dbpedia.org/ontology/AmateurBoxer	
lanzado en	http://dbpedia.org/ontology/launchDate	
despegar desde	http://dbpedia.org/ontology/associatedRocket	
equipo de baloncesto	http://dbpedia.org/ontology/BasketballTeam	
proceder de	http://dbpedia.org/ontology/origin	
proceder de	http://dbpedia.org/ontology/sourceCountry	
golfista actor	http://dbpedia.org/ontology/GolfPlayer	
molino de viento	http://dbpedia.org/ontology/Watermill	
religión	http://dbpedia.org/ontology/religion	
caso legal	http://dbpedia.org/ontology/LegalCase	
partido político	http://dbpedia.org/ontology/PoliticalParty	
construir	http://dbpedia.org/ontology/company	
estadio local	http://dbpedia.org/ontology/homeArena	
estadio local	http://dbpedia.org/ontology/ground	
línea ferroviaria	http://dbpedia.org/ontology/RailwayLine	
duración	http://dbpedia.org/ontology/runtime	
perro	http://dbpedia.org/ontology/Dog	
episodio de	http://dbpedia.org/ontology/series	
episodio de	http://dbpedia.org/ontology/TelevisionEpisode	
alzar a	http://dbpedia.org/ontology/elevation	
alzar a	http://dbpedia.org/ontology/maximumElevation	
ópera	http://dbpedia.org/ontology/Opera	
diario	http://dbpedia.org/ontology/Newspaper	
liga de curling	http://dbpedia.org/ontology/CurlingLeague	
cota	http://dbpedia.org/ontology/elevation	
embriología	http://dbpedia.org/ontology/Embryology	
ingeniero	http://dbpedia.org/ontology/Engineer	
liga ciclista	http://dbpedia.org/ontology/CyclingLeague	
lugar	http://dbpedia.org/ontology/Venue	
complejo de esquí	http://dbpedia.org/ontology/SkiResort	
desembocar en	http://dbpedia.org/ontology/mouthMountain	
desembocar en	http://dbpedia.org/ontology/mouthPlace	
desembocar en	http://dbpedia.org/ontology/riverMouth	
región natural	http://dbpedia.org/ontology/NaturalRegion	
protagonizar	http://dbpedia.org/ontology/starring	
región  administrativa	http://dbpedia.org/ontology/AdministrativeRegion	
longitud	http://dbpedia.org/ontology/length	
planeta	http://dbpedia.org/ontology/Planet	
obra de arte	http://dbpedia.org/ontology/Artwork	
estrella del porno	http://dbpedia.org/ontology/Pornstar	
campeonato de radiocontrol	http://dbpedia.org/ontology/RadioControlledRacingLeague	
cancha local	http://dbpedia.org/ontology/homeArena	
historieta de Hollywood	http://dbpedia.org/ontology/HollywoodCartoon	
estructura anatómica	http://dbpedia.org/ontology/AnatomicalStructure	
cinta ergométrica	http://dbpedia.org/ontology/Treadmill	
abreviar	http://dbpedia.org/ontology/abbreviation	
unidad militar	http://dbpedia.org/ontology/MilitaryUnit	
torneo de tenis	http://dbpedia.org/ontology/TennisTournament	
reptil	http://dbpedia.org/ontology/Reptile	
obispo cristiano	http://dbpedia.org/ontology/ChristianBishop	
tragedia	http://dbpedia.org/ontology/Drama	
edificio histórico	http://dbpedia.org/ontology/HistoricBuilding	
alga verde	http://dbpedia.org/ontology/GreenAlga	
manhua	http://dbpedia.org/ontology/Manhua	
equipo	http://dbpedia.org/ontology/team	
equipo	http://dbpedia.org/ontology/SportsTeam	
patrimonio mundial de la humanidad	http://dbpedia.org/ontology/WorldHeritageSite	
concurso de Eurovisión	http://dbpedia.org/ontology/EurovisionSongContestEntry	
publicación multivolumen	http://dbpedia.org/ontology/MultiVolumePublication	
evento olímpico	http://dbpedia.org/ontology/OlympicEvent	
actor	http://dbpedia.org/ontology/Actor	
fecha de grabación	http://dbpedia.org/ontology/recordDate	
ancho	http://dbpedia.org/ontology/width	
liga de baloncesto	http://dbpedia.org/ontology/BaseballLeague	
construir	http://dbpedia.org/ontology/builder	
senador	http://dbpedia.org/ontology/Senator	
programa informático	http://dbpedia.org/ontology/Software	
completar en	http://dbpedia.org/ontology/completionDate	
completar en	http://dbpedia.org/ontology/dateCompleted	
región administrativa clerical	http://dbpedia.org/ontology/ClericalAdministrativeRegion	
editor	http://dbpedia.org/ontology/publisher	
editor	http://dbpedia.org/ontology/Publisher	
personal militar	http://dbpedia.org/ontology/MilitaryPerson	
comandante en	http://dbpedia.org/ontology/commander	
primer ministro	http://dbpedia.org/ontology/PrimeMinister	
torneo de la asociación tenista de mujeres	http://dbpedia.org/ontology/WomensTennisAssociationTournament	
caso	http://dbpedia.org/ontology/Case	
corta	http://dbpedia.org/ontology/routeJunction	
miembro	http://dbpedia.org/ontology/phylum	
miembro	http://dbpedia.org/ontology/family	
miembro	http://dbpedia.org/ontology/order	
miembro	http://dbpedia.org/ontology/genus	
miembro	http://dbpedia.org/ontology/kingdom	
miembro	http://dbpedia.org/ontology/class	
elepé	http://dbpedia.org/ontology/Album	
miembro de organización	http://dbpedia.org/ontology/OrganisationMember	
período histórico	http://dbpedia.org/ontology/HistoricalPeriod	
luchador de sumo	http://dbpedia.org/ontology/SumoWrestler	
saint patrón	http://dbpedia.org/ontology/patron	
código OACI	http://dbpedia.org/ontology/icaoLocationIdentifier	
carrera	http://dbpedia.org/ontology/Race	
nombre EIUPAC	http://dbpedia.org/ontology/iupacName	
precede	http://dbpedia.org/ontology/precursor	
faro	http://dbpedia.org/ontology/Lighthouse	
abreviatura	http://dbpedia.org/ontology/abbreviation	
sinónimo	http://dbpedia.org/ontology/synonym	
día de nacimiento	http://dbpedia.org/ontology/birthDate	
trabajo escrito	http://dbpedia.org/ontology/WrittenWork	
Tribunal Supremo de los Estados Unidos	http://dbpedia.org/ontology/SupremeCourtOfTheUnitedStatesCase	
fusionar en	http://dbpedia.org/ontology/musicFusionGenre	
jugador de juegos gaélicos	http://dbpedia.org/ontology/GaelicGamesPlayer	
diseñador de moda	http://dbpedia.org/ontology/FashionDesigner	
guerra	http://dbpedia.org/ontology/MilitaryConflict	
legislatura	http://dbpedia.org/ontology/Legislature	
campeonato de carreras de automóviles	http://dbpedia.org/ontology/AutoRacingLeague	
jugador de balonmano	http://dbpedia.org/ontology/HandballPlayer	
situado en	http://dbpedia.org/ontology/ground	
parque	http://dbpedia.org/ontology/Park	
molusco	http://dbpedia.org/ontology/Mollusca	
jugador de badminton	http://dbpedia.org/ontology/BadmintonPlayer	
familia	http://dbpedia.org/ontology/Family	
servir en	http://dbpedia.org/ontology/militaryBranch	
servir en	http://dbpedia.org/ontology/battle	
servir en	http://dbpedia.org/ontology/militaryUnit	
región vinícola	http://dbpedia.org/ontology/WineRegion	
revisión	http://dbpedia.org/ontology/review	
servicio público	http://dbpedia.org/ontology/PublicService	
organización sin ánimo de lucro	http://dbpedia.org/ontology/Non-ProfitOrganisation	
patriarca cristiano	http://dbpedia.org/ontology/ChristianPatriarch	
campeón de billar	http://dbpedia.org/ontology/SnookerChamp	
gen humano	http://dbpedia.org/ontology/HumanGene	
crear	http://dbpedia.org/ontology/creator	
estructura arquitectónica	http://dbpedia.org/ontology/ArchitecturalStructure	
hipódromo	http://dbpedia.org/ontology/Racecourse	
película	http://dbpedia.org/ontology/Film	
embarcación	http://dbpedia.org/ontology/Ship	
constelación	http://dbpedia.org/ontology/Constellation	
liga de lacrosse	http://dbpedia.org/ontology/LacrosseLeague	
nombre de pila	http://dbpedia.org/ontology/birthName	
licenciado bajo	http://dbpedia.org/ontology/license	
alcalde	http://dbpedia.org/ontology/leader	
alcalde	http://dbpedia.org/ontology/Mayor	
parte de	http://dbpedia.org/ontology/isPartOf	
capeonato de tenis	http://dbpedia.org/ontology/TennisLeague	
persona	http://dbpedia.org/ontology/Person	
región más alta	http://dbpedia.org/ontology/highestRegion	
código OCLC	http://dbpedia.org/ontology/oclc	
cerebro	http://dbpedia.org/ontology/Brain	
escuela	http://dbpedia.org/ontology/School	
población metropolitana	http://dbpedia.org/ontology/populationMetro	
inscritos en	http://dbpedia.org/ontology/numberOfStudents	
infraestructura	http://dbpedia.org/ontology/Infrastructure	
torre de agua	http://dbpedia.org/ontology/WaterTower	
cerveza	http://dbpedia.org/ontology/Beer	
asesino	http://dbpedia.org/ontology/Murderer	
plataforma de lanzamiento	http://dbpedia.org/ontology/LaunchPad	
jugador de hockey sobre hielo	http://dbpedia.org/ontology/IceHockeyPlayer	
coche	http://dbpedia.org/ontology/Automobile	
secuela	http://dbpedia.org/ontology/subsequentWork	
aguas termales	http://dbpedia.org/ontology/HotSpring	
filial	http://dbpedia.org/ontology/owningCompany	
filial	http://dbpedia.org/ontology/parentCompany	
partido	http://dbpedia.org/ontology/PoliticalParty	
abreviado como	http://dbpedia.org/ontology/abbreviation	
etnia	http://dbpedia.org/ontology/ethnicity	
personaje de culebrón	http://dbpedia.org/ontology/SoapCharacter	
evento	http://dbpedia.org/ontology/Event	
galardón	http://dbpedia.org/ontology/award	
entrenador anterior	http://dbpedia.org/ontology/formerCoach	
jugador de cricket	http://dbpedia.org/ontology/Cricketer	
enviar desde	http://dbpedia.org/ontology/associatedRocket	
ciclista	http://dbpedia.org/ontology/Cyclist	
universidad	http://dbpedia.org/ontology/College	
universidad	http://dbpedia.org/ontology/University	
rey polaco	http://dbpedia.org/ontology/PolishKing	
cómic	http://dbpedia.org/ontology/Comic	
cómic	http://dbpedia.org/ontology/Comics	
prueba ciclista	http://dbpedia.org/ontology/CyclingCompetition	
compañía aérea	http://dbpedia.org/ontology/Airline	
cargo público	http://dbpedia.org/ontology/OfficeHolder	
modelo	http://dbpedia.org/ontology/Model	
luchar en	http://dbpedia.org/ontology/battle	
esquiador	http://dbpedia.org/ontology/Skier	
medicina	http://dbpedia.org/ontology/Drug	
juega en	http://dbpedia.org/ontology/tenant	
locutor de radio	http://dbpedia.org/ontology/RadioHost	
cícada	http://dbpedia.org/ontology/Cycad	
localidad francesa	http://dbpedia.org/ontology/FrenchLocality	
parte de	http://dbpedia.org/ontology/isPartOfMilitaryConflict	
parte de	http://dbpedia.org/ontology/range	
parte de	http://dbpedia.org/ontology/intercommunality	
parte de	http://dbpedia.org/ontology/commandStructure	
parte de	http://dbpedia.org/ontology/mountainRange	
pintura	http://dbpedia.org/ontology/Painting	
túnel	http://dbpedia.org/ontology/Tunnel	
población urbana	http://dbpedia.org/ontology/populationUrban	
similar a	http://dbpedia.org/ontology/similar	
arácnido	http://dbpedia.org/ontology/Arachnid	
ocupación	http://dbpedia.org/ontology/occupation	
campeonato de carreras de motos	http://dbpedia.org/ontology/MotorcycleRacingLeague	
escribir	http://dbpedia.org/ontology/genre	
escribir	http://dbpedia.org/ontology/writer	
escribir	http://dbpedia.org/ontology/musicalArtist	
escribir	http://dbpedia.org/ontology/musicalBand	
escribir	http://dbpedia.org/ontology/composer	
políticos	http://dbpedia.org/ontology/Politician	
enterrado en	http://dbpedia.org/ontology/restingPlace	
debutar para	http://dbpedia.org/ontology/debutTeam	
anime	http://dbpedia.org/ontology/Anime	
manga	http://dbpedia.org/ontology/Manga	
festival de música	http://dbpedia.org/ontology/MusicFestival	
factoría	http://dbpedia.org/ontology/Factory	
gran premio	http://dbpedia.org/ontology/GrandPrix	
actor de doblaje	http://dbpedia.org/ontology/VoiceActor	
presentador	http://dbpedia.org/ontology/presenter	
presentador	http://dbpedia.org/ontology/Presenter	
montaña	http://dbpedia.org/ontology/Mountain	
red hermana	http://dbpedia.org/ontology/sisterStation	
población	http://dbpedia.org/ontology/populationUrban	
población	http://dbpedia.org/ontology/totalPopulation	
población	http://dbpedia.org/ontology/populationTotal	
población	http://dbpedia.org/ontology/populationMetro	
jugador de voleiplaya	http://dbpedia.org/ontology/BeachVolleyballPlayer	
producir	http://dbpedia.org/ontology/manufacturer	
producir	http://dbpedia.org/ontology/product	
tener en	http://dbpedia.org/ontology/gross	
liga de futbol	http://dbpedia.org/ontology/SoccerLeague	
enjambre abierto	http://dbpedia.org/ontology/OpenSwarm	
abadía	http://dbpedia.org/ontology/Abbey	
emitir en	http://dbpedia.org/ontology/network	
emitir hasta	http://dbpedia.org/ontology/network	
emitir en	http://dbpedia.org/ontology/channel	
emitir hasta	http://dbpedia.org/ontology/channel	
emitir en	http://dbpedia.org/ontology/completionDate	
emitir hasta	http://dbpedia.org/ontology/completionDate	
emitir en	http://dbpedia.org/ontology/broadcastArea	
emitir hasta	http://dbpedia.org/ontology/broadcastArea	
equipo de futbol	http://dbpedia.org/ontology/SoccerClub	
program de radio	http://dbpedia.org/ontology/RadioProgram	
número de estudiantes	http://dbpedia.org/ontology/numberOfStudents	
ISBN	http://dbpedia.org/ontology/isbn	
canciller	http://dbpedia.org/ontology/Chancellor	
cámara digital	http://dbpedia.org/ontology/DigitalCamera	
tener lugar en	http://dbpedia.org/ontology/place	
tener lugar en	http://dbpedia.org/ontology/date	
emisora de televisión	http://dbpedia.org/ontology/TelevisionStation	
caverna	http://dbpedia.org/ontology/Cave	
equipo de hockey	http://dbpedia.org/ontology/HockeyTeam	
Archaea	http://dbpedia.org/ontology/Archaea	
producir	http://dbpedia.org/ontology/company	
equipo de futbol americano	http://dbpedia.org/ontology/CanadianFootballTeam	
equipo de futbol americano	http://dbpedia.org/ontology/AmericanFootballTeam	
estación eléctrica	http://dbpedia.org/ontology/PowerStation	
zona horaria	http://dbpedia.org/ontology/timeZone	
fecha de muerte	http://dbpedia.org/ontology/deathDate	
tocar	http://dbpedia.org/ontology/instrument	
teatro	http://dbpedia.org/ontology/Theatre	
nadador	http://dbpedia.org/ontology/Swimmer	
parte de	http://dbpedia.org/ontology/series	
parte de	http://dbpedia.org/ontology/broadcastNetwork	
ubicada cerca	http://dbpedia.org/ontology/closestCity	
acabar en	http://dbpedia.org/ontology/routeEnd	
requerir	http://dbpedia.org/ontology/requirement	
período de tiempo	http://dbpedia.org/ontology/TimePeriod	
comunidad	http://dbpedia.org/ontology/Community	
piloto de speedway	http://dbpedia.org/ontology/SpeedwayRider	
base de datos biológica	http://dbpedia.org/ontology/BiologicalDatabase	
activa hasta	http://dbpedia.org/ontology/activeYearsEndYear	
activa desde	http://dbpedia.org/ontology/activeYearsEndYear	
activa hasta	http://dbpedia.org/ontology/activeYearsStartYear	
activa desde	http://dbpedia.org/ontology/activeYearsStartYear	
activa hasta	http://dbpedia.org/ontology/activeYearsEndDate	
activa desde	http://dbpedia.org/ontology/activeYearsEndDate	
activa hasta	http://dbpedia.org/ontology/activeYearsStartDate	
activa desde	http://dbpedia.org/ontology/activeYearsStartDate	
año	http://dbpedia.org/ontology/Year	
diócesis	http://dbpedia.org/ontology/Diocese	
monumento	http://dbpedia.org/ontology/Monument	
misión espacial	http://dbpedia.org/ontology/SpaceMission	
operar en	http://dbpedia.org/ontology/regionServed	
sepultado en	http://dbpedia.org/ontology/restingPlace	
dolencia	http://dbpedia.org/ontology/Disease	
sistema de transporte público	http://dbpedia.org/ontology/PublicTransitSystem	
generar	http://dbpedia.org/ontology/gross	
escultura	http://dbpedia.org/ontology/Sculpture	
miembro fundador de	http://dbpedia.org/ontology/formerBandMember	
pertenecer a	http://dbpedia.org/ontology/languageFamily	
pertenecer a	http://dbpedia.org/ontology/division	
presidente	http://dbpedia.org/ontology/leader	
presidente	http://dbpedia.org/ontology/President	
presidente	http://dbpedia.org/ontology/chairman	
asteroide	http://dbpedia.org/ontology/Asteroid	
edificar	http://dbpedia.org/ontology/company	
jugador de póquer	http://dbpedia.org/ontology/PokerPlayer	
sinagoga	http://dbpedia.org/ontology/Synagogue	
significar	http://dbpedia.org/ontology/callsignMeaning	
centro comercial	http://dbpedia.org/ontology/ShoppingMall	
pteridófita	http://dbpedia.org/ontology/Fern	
llamar	http://dbpedia.org/ontology/commonName	
llamar	http://dbpedia.org/ontology/alias	
llamar	http://dbpedia.org/ontology/pseudonym	
biomolécula	http://dbpedia.org/ontology/Biomolecule	
equipo de fútbol	http://dbpedia.org/ontology/SoccerClub	
graduar por	http://dbpedia.org/ontology/college	
estrella	http://dbpedia.org/ontology/Star	
director	http://dbpedia.org/ontology/rector	
distribuidor	http://dbpedia.org/ontology/distributor	
gen	http://dbpedia.org/ontology/Gene	
periodo artístico	http://dbpedia.org/ontology/PeriodOfArtisticStyle	
castillo	http://dbpedia.org/ontology/Castle	
